file,start,base_mad,base_rmse,base_bias,base_w5,base_w10,base_r,acc_tp,acc_fp,acc_fn,acc_n_true,acc_n_pred,acc_dice,acc_tp_eb,acc_fp_eb,acc_fn_eb,dec_tp,dec_fp,dec_fn,dec_n_true,dec_n_pred,dec_dice,dec_tp_eb,dec_fp_eb,dec_fn_eb
test58.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test59.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test59.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test60.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test60.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test61.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test61.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test62.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test62.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test63.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test63.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test64.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test64.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test65.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test65.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test66.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test66.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test67.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test67.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test68.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test68.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test69.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test69.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test70.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test70.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test71.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test71.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test72.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test72.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test73.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test73.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test74.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test74.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test75.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test75.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test76.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test76.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test77.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test77.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test78.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test78.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test79.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test79.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test80.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test80.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test81.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test81.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test82.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test82.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test83.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test83.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test84.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test84.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test85.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test85.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test86.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test86.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test87.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test87.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test88.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test88.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test89.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test89.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
test90.csv,0,13.903319844806129,22.99272483107887,12.436261016704773,0.616875,0.6747916666666667,,0,0,4,4,0,0.0,2,1,2,1,10,0,1,11,0.5001917913310319,1,3,0
test90.csv,4800,1.2408074633444441,1.4327082724778488,-0.8188825912725493,1.0,1.0,,0,0,0,0,0,,0,0,0,2,3,1,3,5,0.7376839411388356,2,2,1
train01.csv,0,6.1701671186860665,6.854100202833328,3.180630807426174,0.3120833333333333,0.8941666666666667,,0,0,0,0,0,,0,0,0,7,0,0,7,7,0.8900557925828684,7,0,0
train01.csv,4800,1.849248412051112,2.5917041250862463,-1.1787824912370024,0.9233333333333333,1.0,,0,0,0,0,0,,0,0,0,8,0,1,9,8,0.7858561779896702,8,0,1
train02.csv,0,3.1310662343522218,3.5654555778166954,1.499937070966694,0.906875,1.0,,0,0,0,0,0,,0,0,0,1,1,1,2,2,0.3167701863354037,1,1,1
train02.csv,4800,6.728723466318929,7.596104681211014,1.4326926162315134,0.32,0.7479166666666667,,0,0,0,0,0,,0,0,0,4,2,0,4,6,0.9387576552930884,4,2,0
train02.csv,9600,1.960710902346226,2.7366784363792034,-0.8382602335225652,0.9052083333333333,1.0,,0,0,0,0,0,,0,0,0,2,2,0,2,4,0.7712418300653595,2,2,0
train03.csv,0,19.348595842140046,31.50678928969029,16.919931923369827,0.60375,0.6522916666666667,,0,0,1,1,0,0.0,0,0,1,2,2,0,2,4,0.16794625719769674,2,0,0
train03.csv,4800,14.933827060015574,22.15840188524527,-8.763625534109773,0.3779166666666667,0.6033333333333334,,1,3,3,4,4,0.18502673796791444,3,0,1,1,1,0,1,2,0.6611570247933884,1,0,0
train04.csv,0,4.76555156207568,5.678345475615626,2.3299642400689526,0.5760416666666667,0.9520833333333333,,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,,0,0,0
train04.csv,4800,11.962819878947018,12.582067453059155,11.962819878947018,0.12833333333333333,0.178125,,0,0,8,8,0,0.0,7,4,1,0,1,0,0,1,0.0,0,0,0
train04.csv,9600,1.1152006526611895,1.295607505677154,0.688338607169015,1.0,1.0,,4,0,4,8,4,0.42328042328042326,3,1,5,0,0,1,1,0,0.0,0,0,1
train05.csv,0,2.4609148359534037,3.11709090900755,-0.22954574728769386,0.8608333333333333,1.0,,0,0,0,0,0,,0,0,0,1,0,1,2,1,0.23668639053254437,0,0,2
train05.csv,4800,36.635093628427725,36.9028142840275,-36.635093628427725,0.0,0.0,,1,4,0,1,5,0.09518658734451055,1,0,0,1,2,4,5,3,0.6348871546087324,3,2,2
