horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
0,resplit_55,B0_prevalence,0.4986,-0.223,-0.223,0.0,-0.2322,0.0
0,resplit_55,B1_parity_only,0.5707,-0.1509,-0.1509,0.0,-0.16,0.0
0,resplit_55,B2_m3_only,0.7216,0.0,0.0,1.0,-0.0092,0.287
0,resplit_55,F2_hybrid_C0.1,0.7308,0.0092,0.0092,0.287,0.0,1.0
0,resplit_55,A3_prob_avg_a0.25,0.7235,0.0019,0.0019,0.932,-0.0073,0.57
0,resplit_55,A3_prob_avg_a0.5,0.7373,0.0157,0.0157,0.185,0.0065,0.132
0,resplit_55,A3_prob_avg_a0.75,0.733,0.0114,0.0114,0.01,0.0022,0.659
0,resplit_55,A3_prob_avg_selected,0.7325,0.0109,0.0109,0.383,0.0017,0.742
0,resplit_55,A4_logit_unconstrained,0.7299,0.0083,0.0083,0.377,-0.0009,0.492
0,resplit_55,A4_logit_nonneg,0.7298,0.0082,0.0082,0.379,-0.001,0.452
0,resplit_55,A4_logit_sum_to_one,0.7288,0.0072,0.0072,0.555,-0.002,0.703
0,resplit_55,A4_logit_equal,0.7314,0.0098,0.0098,0.47,0.0006,0.893
0,resplit_55,F1_unregularized,0.7298,0.0082,0.0082,0.383,-0.001,0.42
0,resplit_55,F3_l1,0.7258,0.0042,0.0042,0.315,-0.005,0.305
0,resplit_55,F7_interaction,0.7333,0.0117,0.0117,0.202,0.0025,0.141
0,resplit_55,P3_categorical_parity,0.7325,0.0109,0.0109,0.076,0.0017,0.854
10,CANONICAL,B0_prevalence,0.4986,-0.1696,-0.1696,0.0,-0.191,0.0
10,CANONICAL,B1_parity_only,0.5755,-0.0928,-0.0928,0.023,-0.1141,0.001
10,CANONICAL,B2_m3_only,0.6683,0.0,0.0,1.0,-0.0213,0.097
10,CANONICAL,F2_hybrid_C0.1,0.6896,0.0213,0.0213,0.097,0.0,1.0
10,CANONICAL,A3_prob_avg_a0.25,0.6877,0.0194,0.0194,0.399,-0.0019,0.869
10,CANONICAL,A3_prob_avg_a0.5,0.6953,0.027,0.027,0.053,0.0057,0.055
10,CANONICAL,A3_prob_avg_a0.75,0.6838,0.0155,0.0155,0.01,-0.0058,0.432
10,CANONICAL,A3_prob_avg_selected,0.6936,0.0254,0.0254,0.158,0.004,0.55
10,CANONICAL,A4_logit_unconstrained,0.6901,0.0218,0.0218,0.118,0.0005,0.743
10,CANONICAL,A4_logit_nonneg,0.6901,0.0218,0.0218,0.117,0.0005,0.731
10,CANONICAL,A4_logit_sum_to_one,0.6884,0.0201,0.0201,0.284,-0.0012,0.86
10,CANONICAL,A4_logit_equal,0.6931,0.0248,0.0248,0.09,0.0035,0.154
10,CANONICAL,F1_unregularized,0.6902,0.0219,0.0219,0.117,0.0006,0.704
10,CANONICAL,F3_l1,0.6818,0.0135,0.0135,0.093,-0.0078,0.167
10,CANONICAL,F7_interaction,0.6909,0.0226,0.0226,0.081,0.0013,0.343
10,CANONICAL,P3_categorical_parity,0.688,0.0197,0.0197,0.035,-0.0016,0.809
10,resplit_11,B0_prevalence,0.4986,-0.1696,-0.1696,0.0,-0.1874,0.0
10,resplit_11,B1_parity_only,0.5708,-0.0974,-0.0974,0.009,-0.1152,0.0
10,resplit_11,B2_m3_only,0.6683,0.0,0.0,1.0,-0.0178,0.197
10,resplit_11,F2_hybrid_C0.1,0.6861,0.0178,0.0178,0.197,0.0,1.0
10,resplit_11,A3_prob_avg_a0.25,0.6828,0.0145,0.0145,0.549,-0.0033,0.783
10,resplit_11,A3_prob_avg_a0.5,0.694,0.0258,0.0258,0.087,0.008,0.029
10,resplit_11,A3_prob_avg_a0.75,0.6834,0.0151,0.0151,0.013,-0.0027,0.749
10,resplit_11,A3_prob_avg_selected,0.6595,-0.0088,-0.0088,0.7,-0.0265,0.082
10,resplit_11,A4_logit_unconstrained,0.6871,0.0189,0.0189,0.205,0.0011,0.485
10,resplit_11,A4_logit_nonneg,0.6872,0.0189,0.0189,0.205,0.0011,0.47
10,resplit_11,A4_logit_sum_to_one,0.6633,-0.0049,-0.0049,0.822,-0.0227,0.138
10,resplit_11,A4_logit_equal,0.6917,0.0234,0.0234,0.136,0.0056,0.095
10,resplit_11,F1_unregularized,0.6872,0.0189,0.0189,0.203,0.0011,0.476
10,resplit_11,F3_l1,0.677,0.0088,0.0088,0.347,-0.009,0.105
10,resplit_11,F7_interaction,0.6872,0.019,0.019,0.166,0.0012,0.399
10,resplit_11,P3_categorical_parity,0.6863,0.018,0.018,0.064,0.0002,0.973
10,resplit_22,B0_prevalence,0.4986,-0.1696,-0.1696,0.0,-0.1868,0.0
10,resplit_22,B1_parity_only,0.5731,-0.0952,-0.0952,0.017,-0.1123,0.0
10,resplit_22,B2_m3_only,0.6683,0.0,0.0,1.0,-0.0171,0.214
10,resplit_22,F2_hybrid_C0.1,0.6854,0.0171,0.0171,0.214,0.0,1.0
10,resplit_22,A3_prob_avg_a0.25,0.6825,0.0143,0.0143,0.56,-0.0029,0.812
10,resplit_22,A3_prob_avg_a0.5,0.6923,0.024,0.024,0.119,0.0069,0.025
10,resplit_22,A3_prob_avg_a0.75,0.6819,0.0136,0.0136,0.031,-0.0035,0.663
10,resplit_22,A3_prob_avg_selected,0.6957,0.0274,0.0274,0.13,0.0103,0.108
10,resplit_22,A4_logit_unconstrained,0.6854,0.0171,0.0171,0.256,0.0,1.0
10,resplit_22,A4_logit_nonneg,0.6854,0.0172,0.0172,0.255,0.0,0.993
10,resplit_22,A4_logit_sum_to_one,0.6928,0.0245,0.0245,0.176,0.0074,0.306
10,resplit_22,A4_logit_equal,0.69,0.0217,0.0217,0.165,0.0046,0.127
10,resplit_22,F1_unregularized,0.6854,0.0171,0.0171,0.256,-0.0,0.986
10,resplit_22,F3_l1,0.6759,0.0076,0.0076,0.398,-0.0095,0.099
10,resplit_22,F7_interaction,0.6864,0.0182,0.0182,0.195,0.001,0.449
10,resplit_22,P3_categorical_parity,0.6869,0.0186,0.0186,0.05,0.0015,0.899
10,resplit_33,B0_prevalence,0.4986,-0.1696,-0.1696,0.0,-0.1898,0.0
10,resplit_33,B1_parity_only,0.5678,-0.1004,-0.1004,0.014,-0.1206,0.0
10,resplit_33,B2_m3_only,0.6683,0.0,0.0,1.0,-0.0202,0.151
10,resplit_33,F2_hybrid_C0.1,0.6884,0.0202,0.0202,0.151,0.0,1.0
10,resplit_33,A3_prob_avg_a0.25,0.6838,0.0155,0.0155,0.507,-0.0047,0.72
10,resplit_33,A3_prob_avg_a0.5,0.6939,0.0257,0.0257,0.097,0.0055,0.073
10,resplit_33,A3_prob_avg_a0.75,0.6828,0.0145,0.0145,0.02,-0.0057,0.494
10,resplit_33,A3_prob_avg_selected,0.6938,0.0255,0.0255,0.175,0.0054,0.463
10,resplit_33,A4_logit_unconstrained,0.6893,0.021,0.021,0.171,0.0009,0.575
10,resplit_33,A4_logit_nonneg,0.6893,0.0211,0.0211,0.169,0.0009,0.548
10,resplit_33,A4_logit_sum_to_one,0.6904,0.0221,0.0221,0.226,0.0019,0.787
