split,arm,seed,fold,epochs,cap_hit,best_val_obj
resplit_33,A1,42,4,46,False,0.47193
resplit_33,A1,43,4,47,False,0.47106
resplit_33,A1,44,4,55,False,0.47205
resplit_33,A2,42,4,137,False,0.59997
resplit_33,A2,43,4,114,False,0.59981
resplit_33,A2,44,4,120,False,0.59982
resplit_33,A3,42,4,11,False,0.61384
resplit_33,A3,43,4,11,False,0.61399
resplit_33,A3,44,4,54,False,0.61597
resplit_44,A0,42,0,200,True,0.49807
resplit_44,A0,43,0,200,True,0.49804
resplit_44,A0,44,0,200,True,0.49807
resplit_44,A1,42,0,44,False,0.50221
resplit_44,A1,43,0,47,False,0.50239
resplit_44,A1,44,0,153,False,0.49845
resplit_44,A2,42,0,200,True,0.64654
resplit_44,A2,43,0,200,True,0.64536
resplit_44,A2,44,0,200,True,0.6458
resplit_44,A3,42,0,45,False,0.66138
resplit_44,A3,43,0,156,False,0.64806
resplit_44,A3,44,0,46,False,0.66034
resplit_44,A0,42,1,167,False,0.47963
resplit_44,A0,43,1,152,False,0.47964
resplit_44,A0,44,1,176,False,0.47963
resplit_44,A1,42,1,90,False,0.4751
resplit_44,A1,43,1,110,False,0.47552
resplit_44,A1,44,1,59,False,0.47548
resplit_44,A2,42,1,200,True,0.59923
resplit_44,A2,43,1,200,True,0.59907
resplit_44,A2,44,1,200,True,0.59922
resplit_44,A3,42,1,200,True,0.58397
resplit_44,A3,43,1,66,False,0.58982
resplit_44,A3,44,1,59,False,0.59
resplit_44,A0,42,2,83,False,0.44297
resplit_44,A0,43,2,62,False,0.44319
resplit_44,A0,44,2,78,False,0.44356
resplit_44,A1,42,2,11,False,0.44667
resplit_44,A1,43,2,11,False,0.44655
resplit_44,A1,44,2,11,False,0.44509
resplit_44,A2,42,2,84,False,0.53499
resplit_44,A2,43,2,65,False,0.535
resplit_44,A2,44,2,77,False,0.5376
resplit_44,A3,42,2,19,False,0.54607
resplit_44,A3,43,2,11,False,0.54627
resplit_44,A3,44,2,11,False,0.54225
resplit_44,A0,42,3,200,True,0.46287
resplit_44,A0,43,3,200,True,0.46288
resplit_44,A0,44,3,200,True,0.46291
resplit_44,A1,42,3,47,False,0.46542
resplit_44,A1,43,3,46,False,0.46535
resplit_44,A1,44,3,44,False,0.46542
resplit_44,A2,42,3,145,False,0.57701
resplit_44,A2,43,3,138,False,0.57721
resplit_44,A2,44,3,157,False,0.57735
resplit_44,A3,42,3,88,False,0.57438
resplit_44,A3,43,3,53,False,0.57637
resplit_44,A3,44,3,200,True,0.56188
resplit_44,A0,42,4,89,False,0.46787
resplit_44,A0,43,4,69,False,0.46779
resplit_44,A0,44,4,68,False,0.46772
resplit_44,A1,42,4,11,False,0.46948
resplit_44,A1,43,4,11,False,0.46908
resplit_44,A1,44,4,11,False,0.46971
resplit_44,A2,42,4,76,False,0.60818
resplit_44,A2,43,4,57,False,0.60804
resplit_44,A2,44,4,62,False,0.60804
resplit_44,A3,42,4,11,False,0.61127
resplit_44,A3,43,4,11,False,0.61058
resplit_44,A3,44,4,11,False,0.61186
resplit_55,A0,42,0,16,False,0.47319
resplit_55,A0,43,0,36,False,0.47307
resplit_55,A0,44,0,11,False,0.47334
resplit_55,A1,42,0,33,False,0.47065
resplit_55,A1,43,0,32,False,0.47109
resplit_55,A1,44,0,32,False,0.47097
resplit_55,A2,42,0,55,False,0.60842
resplit_55,A2,43,0,39,False,0.60825
resplit_55,A2,44,0,11,False,0.60946
resplit_55,A3,42,0,39,False,0.59888
resplit_55,A3,43,0,38,False,0.59959
resplit_55,A3,44,0,37,False,0.59962
resplit_55,A0,42,1,172,False,0.50565
resplit_55,A0,43,1,146,False,0.50571
resplit_55,A0,44,1,162,False,0.50564
resplit_55,A1,42,1,40,False,0.50499
resplit_55,A1,43,1,36,False,0.50548
resplit_55,A1,44,1,35,False,0.50584
resplit_55,A2,42,1,200,True,0.67954
resplit_55,A2,43,1,200,True,0.67923
resplit_55,A2,44,1,200,True,0.67921
resplit_55,A3,42,1,33,False,0.68462
resplit_55,A3,43,1,30,False,0.68633
resplit_55,A3,44,1,29,False,0.68695
resplit_55,A0,42,2,200,True,0.48935
resplit_55,A0,43,2,200,True,0.48936
resplit_55,A0,44,2,200,True,0.48939
resplit_55,A1,42,2,200,True,0.48989
resplit_55,A1,43,2,50,False,0.4948
resplit_55,A1,44,2,111,False,0.49367
resplit_55,A2,42,2,200,True,0.62445
resplit_55,A2,43,2,200,True,0.62382
resplit_55,A2,44,2,200,True,0.62411
resplit_55,A3,42,2,56,False,0.64291
resplit_55,A3,43,2,55,False,0.64069
resplit_55,A3,44,2,76,False,0.64081
resplit_55,A0,42,3,11,False,0.44946
resplit_55,A0,43,3,11,False,0.44966
resplit_55,A0,44,3,11,False,0.44972
resplit_55,A1,42,3,38,False,0.44358
resplit_55,A1,43,3,38,False,0.44308
resplit_55,A1,44,3,36,False,0.44336
resplit_55,A2,42,3,11,False,0.54875
resplit_55,A2,43,3,11,False,0.54899
resplit_55,A2,44,3,11,False,0.54942
resplit_55,A3,42,3,41,False,0.52124
resplit_55,A3,43,3,39,False,0.52016
resplit_55,A3,44,3,38,False,0.52011
resplit_55,A0,42,4,200,True,0.47161
resplit_55,A0,43,4,200,True,0.4716
resplit_55,A0,44,4,200,True,0.47158
resplit_55,A1,42,4,82,False,0.47414
resplit_55,A1,43,4,45,False,0.4741
resplit_55,A1,44,4,84,False,0.47448
resplit_55,A2,42,4,200,True,0.57528
resplit_55,A2,43,4,200,True,0.575
resplit_55,A2,44,4,200,True,0.57523
resplit_55,A3,42,4,66,False,0.59478
resplit_55,A3,43,4,41,False,0.59409
resplit_55,A3,44,4,83,False,0.59619
